name,country
Badgis,Afghanistan
Baglan,Afghanistan
Balkh,Afghanistan
Bamiyan,Afghanistan
Farah,Afghanistan
Faryab,Afghanistan
Gawr,Afghanistan
Gazni,Afghanistan
Herat,Afghanistan
Hilmand,Afghanistan
Jawzjan,Afghanistan
Kabul,Afghanistan
Kapisa,Afghanistan
Khawst,Afghanistan
Kunar,Afghanistan
Lagman,Afghanistan
Lawghar,Afghanistan
Nangarhar,Afghanistan
Nimruz,Afghanistan
Nuristan,Afghanistan
Paktika,Afghanistan
Paktiya,Afghanistan
Parwan,Afghanistan
Qandahar,Afghanistan
Qunduz,Afghanistan
Samangan,Afghanistan
Sar-e Pul,Afghanistan
Takhar,Afghanistan
Uruzgan,Afghanistan
Wardag,Afghanistan
Zabul,Afghanistan
Berat,Albania
Bulqize,Albania
Delvine,Albania
Devoll,Albania
Dibre,Albania
Durres,Albania
Elbasan,Albania
Fier,Albania
Gjirokaster,Albania
Gramsh,Albania
Has,Albania
Kavaje,Albania
Kolonje,Albania
Korce,Albania
Kruje,Albania
Kucove,Albania
Kukes,Albania
Kurbin,Albania
Lezhe,Albania
Librazhd,Albania
Lushnje,Albania
Mallakaster,Albania
Malsi e Madhe,Albania
Mat,Albania
Mirdite,Albania
Peqin,Albania
Permet,Albania
Pogradec,Albania
Puke,Albania
Sarande,Albania
Shkoder,Albania
Skrapar,Albania
Tepelene,Albania
Tirane,Albania
Tropoje,Albania
Vlore,Albania
Ayn Daflah,Algeria
Ayn Tamushanat,Algeria
Adrar,Algeria
Algiers,Algeria
Annabah,Algeria
Bashshar,Algeria
Batnah,Algeria
Bijayah,Algeria
Biskrah,Algeria
Blidah,Algeria
Buirah,Algeria
Bumardas,Algeria
Burj Bu Arririj,Algeria
Ghalizan,Algeria
Ghardayah,Algeria
Ilizi,Algeria
Jijili,Algeria
Jilfah,Algeria
Khanshalah,Algeria
Masilah,Algeria
Midyah,Algeria
Milah,Algeria
Muaskar,Algeria
Mustaghanam,Algeria
Naama,Algeria
Oran,Algeria
Ouargla,Algeria
Qalmah,Algeria
Qustantinah,Algeria
Sakikdah,Algeria
Satif,Algeria
Sayda,Algeria
Sidi ban-al-''Abbas,Algeria
Suq Ahras,Algeria
Tamanghasat,Algeria
Tibazah,Algeria
Tibissah,Algeria
Tilimsan,Algeria
Tinduf,Algeria
Tisamsilt,Algeria
Tiyarat,Algeria
Tizi Wazu,Algeria
Umm-al-Bawaghi,Algeria
Wahran,Algeria
Warqla,Algeria
Wilaya d Alger,Algeria
Wilaya de Bejaia,Algeria
Wilaya de Constantine,Algeria
al-Aghwat,Algeria
al-Bayadh,Algeria
al-Jaza''ir,Algeria
al-Wad,Algeria
ash-Shalif,Algeria
at-Tarif,Algeria
Eastern,American Samoa
Manu''a,American Samoa
Swains Island,American Samoa
Western,American Samoa
Andorra la Vella,American Samoa
Canillo,Andorra
Encamp,Andorra
La Massana,Andorra
Les Escaldes,Andorra
Ordino,Andorra
Sant Julia de Loria,Andorra
Bengo,Angola
Benguela,Angola
Bie,Angola
Cabinda,Angola
Cunene,Angola
Huambo,Angola
Huila,Angola
Kuando-Kubango,Angola
Kwanza Norte,Angola
Kwanza Sul,Angola
Luanda,Angola
Lunda Norte,Angola
Lunda Sul,Angola
Malanje,Angola
Moxico,Angola
Namibe,Angola
Uige,Angola
Zaire,Angola
Barbuda,Angola
Saint George,Antigua and Barbuda
Saint John,Antigua and Barbuda
Saint Mary,Antigua and Barbuda
Saint Paul,Antigua and Barbuda
Saint Peter,Antigua and Barbuda
Saint Philip,Antigua and Barbuda
Buenos Aires,Argentina
Catamarca,Argentina
Chaco,Argentina
Chubut,Argentina
Cordoba,Argentina
Corrientes,Argentina
Distrito Federal,Argentina
Entre Rios,Argentina
Formosa,Argentina
Jujuy,Argentina
La Pampa,Argentina
La Rioja,Argentina
Mendoza,Argentina
Misiones,Argentina
Neuquen,Argentina
Rio Negro,Argentina
Salta,Argentina
San Juan,Argentina
San Luis,Argentina
Santa Cruz,Argentina
Santa Fe,Argentina
Santiago del Estero,Argentina
Tierra del Fuego,Argentina
Tucuman,Argentina
Aragatsotn,Armenia
Ararat,Armenia
Armavir,Armenia
Gegharkunik,Armenia
Kotaik,Armenia
Lori,Armenia
Shirak,Armenia
Stepanakert,Armenia
Syunik,Armenia
Tavush,Armenia
Vayots Dzor,Armenia
Yerevan,Armenia
Auckland,Australia
Australian Capital Territory,Australia
Balgowlah,Australia
Balmain,Australia
Bankstown,Australia
Baulkham Hills,Australia
Bonnet Bay,Australia
Camberwell,Australia
Carole Park,Australia
Castle Hill,Australia
Caulfield,Australia
Chatswood,Australia
Cheltenham,Australia
Cherrybrook,Australia
Clayton,Australia
Collingwood,Australia
Frenchs Forest,Australia
Hawthorn,Australia
Jannnali,Australia
Knoxfield,Australia
Melbourne,Australia
New South Wales,Australia
Northern Territory,Australia
Perth,Australia
Queensland,Australia
South Australia,Australia
Tasmania,Australia
Templestowe,Australia
Victoria,Australia
Werribee south,Australia
Western Australia,Australia
Wheeler,Australia
Bundesland Salzburg,Austria
Bundesland Steiermark,Austria
Bundesland Tirol,Austria
Burgenland,Austria
Carinthia,Austria
Karnten,Austria
Liezen,Austria
Lower Austria,Austria
Niederosterreich,Austria
Oberosterreich,Austria
Salzburg,Austria
Schleswig-Holstein,Austria
Steiermark,Austria
Styria,Austria
Tirol,Austria
Upper Austria,Austria
Vorarlberg,Austria
Wien,Austria
Abseron,Azerbaijan
Baki Sahari,Azerbaijan
Ganca,Azerbaijan
Ganja,Azerbaijan
Kalbacar,Azerbaijan
Lankaran,Azerbaijan
Mil-Qarabax,Azerbaijan
Mugan-Salyan,Azerbaijan
Nagorni-Qarabax,Azerbaijan
Naxcivan,Azerbaijan
Priaraks,Azerbaijan
Qazax,Azerbaijan
Saki,Azerbaijan
Sirvan,Azerbaijan
Xacmaz,Azerbaijan
Abaco,Bahamas
Acklins Island,Bahamas
Andros,Bahamas
Berry Islands,Bahamas
Biminis,Bahamas
Cat Island,Bahamas
Crooked Island,Bahamas
Eleuthera,Bahamas
Exuma and Cays,Bahamas
Grand Bahama,Bahamas
Inagua Islands,Bahamas
Long Island,Bahamas
Mayaguana,Bahamas
New Providence,Bahamas
Ragged Island,Bahamas
Rum Cay,Bahamas
San Salvador,Bahamas
Isa,Bahrain
Badiyah,Bahrain
Hidd,Bahrain
Jidd Hafs,Bahrain
Mahama,Bahrain
Manama,Bahrain
Sitrah,Bahrain
al-Manamah,Bahrain
al-Muharraq,Bahrain
ar-Rifa''a,Bahrain
Bagar Hat,Bangladesh
Bandarban,Bangladesh
Barguna,Bangladesh
Barisal,Bangladesh
Bhola,Bangladesh
Bogora,Bangladesh
Brahman Bariya,Bangladesh
Chandpur,Bangladesh
Chattagam,Bangladesh
Chittagong Division,Bangladesh
Chuadanga,Bangladesh
Dhaka,Bangladesh
Dinajpur,Bangladesh
Faridpur,Bangladesh
Feni,Bangladesh
Gaybanda,Bangladesh
Gazipur,Bangladesh
Gopalganj,Bangladesh
Habiganj,Bangladesh
Jaipur Hat,Bangladesh
Jamalpur,Bangladesh
Jessor,Bangladesh
Jhalakati,Bangladesh
Jhanaydah,Bangladesh
Khagrachhari,Bangladesh
Khulna,Bangladesh
Kishorganj,Bangladesh
Koks Bazar,Bangladesh
Komilla,Bangladesh
Kurigram,Bangladesh
Kushtiya,Bangladesh
Lakshmipur,Bangladesh
Lalmanir Hat,Bangladesh
Madaripur,Bangladesh
Magura,Bangladesh
Maimansingh,Bangladesh
Manikganj,Bangladesh
Maulvi Bazar,Bangladesh
Meherpur,Bangladesh
Munshiganj,Bangladesh
Naral,Bangladesh
Narayanganj,Bangladesh
Narsingdi,Bangladesh
Nator,Bangladesh
Naugaon,Bangladesh
Nawabganj,Bangladesh
Netrakona,Bangladesh
Nilphamari,Bangladesh
Noakhali,Bangladesh
Pabna,Bangladesh
Panchagarh,Bangladesh
Patuakhali,Bangladesh
Pirojpur,Bangladesh
Rajbari,Bangladesh
Rajshahi,Bangladesh
Rangamati,Bangladesh
Rangpur,Bangladesh
Satkhira,Bangladesh
Shariatpur,Bangladesh
Sherpur,Bangladesh
Silhat,Bangladesh
Sirajganj,Bangladesh
Sunamganj,Bangladesh
Tangayal,Bangladesh
Thakurgaon,Bangladesh
Christ Church,Barbados
Saint Andrew,Barbados
Saint George,Barbados
Saint James,Barbados
Saint John,Barbados
Saint Joseph,Barbados
Saint Lucy,Barbados
Saint Michael,Barbados
Saint Peter,Barbados
Saint Philip,Barbados
Saint Thomas,Barbados
Brest,Belarus
Homjel,Belarus
Hrodna,Belarus
Mahiljow,Belarus
Mahilyowskaya Voblasts,Belarus
Minsk,Belarus
Minskaja Voblasts,Belarus
Petrik,Belarus
Vicebsk,Belarus
Antwerpen,Belgium
Berchem,Belgium
Brabant,Belgium
Brabant Wallon,Belgium
Brussel,Belgium
East Flanders,Belgium
Hainaut,Belgium
Liege,Belgium
Limburg,Belgium
Luxembourg,Belgium
Namur,Belgium
Ontario,Belgium
Oost-Vlaanderen,Belgium
Provincie Brabant,Belgium
Vlaams-Brabant,Belgium
Wallonne,Belgium
West-Vlaanderen,Belgium
Belize,Belize
Cayo,Belize
Corozal,Belize
Orange Walk,Belize
Stann Creek,Belize
Toledo,Belize
Alibori,Benin
Atacora,Benin
Atlantique,Benin
Borgou,Benin
Collines,Benin
Couffo,Benin
Donga,Benin
Littoral,Benin
Mono,Benin
Oueme,Benin
Plateau,Benin
Zou,Benin
Hamilton,Bermuda
Saint George,Bermuda
Bumthang,Bhutan
Chhukha,Bhutan
Chirang,Bhutan
Daga,Bhutan
Geylegphug,Bhutan
Ha,Bhutan
Lhuntshi,Bhutan
Mongar,Bhutan
Pemagatsel,Bhutan
Punakha,Bhutan
Rinpung,Bhutan
Samchi,Bhutan
Samdrup Jongkhar,Bhutan
Shemgang,Bhutan
Tashigang,Bhutan
Timphu,Bhutan
Tongsa,Bhutan
Wangdiphodrang,Bhutan
Beni,Bolivia
Chuquisaca,Bolivia
Cochabamba,Bolivia
La Paz,Bolivia
Oruro,Bolivia
Pando,Bolivia
Potosi,Bolivia
Santa Cruz,Bolivia
Tarija,Bolivia
Federacija Bosna i Hercegovina,Bosnia and Herzegovina
Republika Srpska,Bosnia and Herzegovina
Central Bobonong,Botswana
Central Boteti,Botswana
Central Mahalapye,Botswana
Central Serowe-Palapye,Botswana
Central Tutume,Botswana
Chobe,Botswana
Francistown,Botswana
Gaborone,Botswana
Ghanzi,Botswana
Jwaneng,Botswana
Kgalagadi North,Botswana
Kgalagadi South,Botswana
Kgatleng,Botswana
Kweneng,Botswana
Lobatse,Botswana
Ngamiland,Botswana
Ngwaketse,Botswana
North East,Botswana
Okavango,Botswana
Orapa,Botswana
Selibe Phikwe,Botswana
South East,Botswana
Sowa,Botswana
Acre,Brazil
Alagoas,Brazil
Amapa,Brazil
Amazonas,Brazil
Bahia,Brazil
Ceara,Brazil
Distrito Federal,Brazil
Espirito Santo,Brazil
Estado de Sao Paulo,Brazil
Goias,Brazil
Maranhao,Brazil
Mato Grosso,Brazil
Mato Grosso do Sul,Brazil
Minas Gerais,Brazil
Para,Brazil
Paraiba,Brazil
Parana,Brazil
Pernambuco,Brazil
Piaui,Brazil
Rio Grande do Norte,Brazil
Rio Grande do Sul,Brazil
Rio de Janeiro,Brazil
Rondonia,Brazil
Roraima,Brazil
Santa Catarina,Brazil
Sao Paulo,Brazil
Sergipe,Brazil
Tocantins,Brazil
Belait,Brunei Darussalam
Brunei-Muara,Brunei Darussalam
Temburong,Brunei Darussalam
Tutong,Brunei Darussalam
Blagoevgrad,Bulgaria
Burgas,Bulgaria
Dobrich,Bulgaria
Gabrovo,Bulgaria
Haskovo,Bulgaria
Jambol,Bulgaria
Kardzhali,Bulgaria
Kjustendil,Bulgaria
Lovech,Bulgaria
Montana,Bulgaria
Oblast Sofiya-Grad,Bulgaria
Pazardzhik,Bulgaria
Pernik,Bulgaria
Pleven,Bulgaria
Plovdiv,Bulgaria
Razgrad,Bulgaria
Ruse,Bulgaria
Shumen,Bulgaria
Silistra,Bulgaria
Sliven,Bulgaria
Smoljan,Bulgaria
Sofija grad,Bulgaria
Sofijska oblast,Bulgaria
Stara Zagora,Bulgaria
Targovishte,Bulgaria
Varna,Bulgaria
Veliko Tarnovo,Bulgaria
Vidin,Bulgaria
Vraca,Bulgaria
Yablaniza,Bulgaria
Bale,Burkina Faso
Bam,Burkina Faso
Bazega,Burkina Faso
Bougouriba,Burkina Faso
Boulgou,Burkina Faso
Boulkiemde,Burkina Faso
Comoe,Burkina Faso
Ganzourgou,Burkina Faso
Gnagna,Burkina Faso
Gourma,Burkina Faso
Houet,Burkina Faso
Ioba,Burkina Faso
Kadiogo,Burkina Faso
Kenedougou,Burkina Faso
Komandjari,Burkina Faso
Kompienga,Burkina Faso
Kossi,Burkina Faso
Kouritenga,Burkina Faso
Kourweogo,Burkina Faso
Leraba,Burkina Faso
Mouhoun,Burkina Faso
Nahouri,Burkina Faso
Namentenga,Burkina Faso
Noumbiel,Burkina Faso
Oubritenga,Burkina Faso
Oudalan,Burkina Faso
Passore,Burkina Faso
Poni,Burkina Faso
Sanguie,Burkina Faso
Sanmatenga,Burkina Faso
Seno,Burkina Faso
Sissili,Burkina Faso
Soum,Burkina Faso
Sourou,Burkina Faso
Tapoa,Burkina Faso
Tuy,Burkina Faso
Yatenga,Burkina Faso
Zondoma,Burkina Faso
Zoundweogo,Burkina Faso
Bubanza,Burundi
Bujumbura,Burundi
Bururi,Burundi
Cankuzo,Burundi
Cibitoke,Burundi
Gitega,Burundi
Karuzi,Burundi
Kayanza,Burundi
Kirundo,Burundi
Makamba,Burundi
Muramvya,Burundi
Muyinga,Burundi
Ngozi,Burundi
Rutana,Burundi
Ruyigi,Burundi
Banteay Mean Chey,Cambodia
Bat Dambang,Cambodia
Kampong Cham,Cambodia
Kampong Chhnang,Cambodia
Kampong Spoeu,Cambodia
Kampong Thum,Cambodia
Kampot,Cambodia
Kandal,Cambodia
Kaoh Kong,Cambodia
Kracheh,Cambodia
Krong Kaeb,Cambodia
Krong Pailin,Cambodia
Krong Preah Sihanouk,Cambodia
Mondol Kiri,Cambodia
Otdar Mean Chey,Cambodia
Phnum Penh,Cambodia
Pousat,Cambodia
Preah Vihear,Cambodia
Prey Veaeng,Cambodia
Rotanak Kiri,Cambodia
Siem Reab,Cambodia
Stueng Traeng,Cambodia
Svay Rieng,Cambodia
Takaev,Cambodia
Adamaoua,Cameroon
Centre,Cameroon
Est,Cameroon
Littoral,Cameroon
Nord,Cameroon
Nord Extreme,Cameroon
Nordouest,Cameroon
Ouest,Cameroon
Sud,Cameroon
Sudouest,Cameroon
Alberta,Canada
British Columbia,Canada
Manitoba,Canada
New Brunswick,Canada
Newfoundland and Labrador,Canada
Northwest Territories,Canada
Nova Scotia,Canada
Nunavut,Canada
Ontario,Canada
Prince Edward Island,Canada
Quebec,Canada
Saskatchewan,Canada
Yukon,Canada
Boavista,Cape Verde
Brava,Cape Verde
Fogo,Cape Verde
Maio,Cape Verde
Sal,Cape Verde
Santo Antao,Cape Verde
Sao Nicolau,Cape Verde
Sao Tiago,Cape Verde
Sao Vicente,Cape Verde
Grand Cayman,Cayman Islands
Bamingui-Bangoran,Central African Republic
Bangui,Central African Republic
Basse-Kotto,Central African Republic
Haut-Mbomou,Central African Republic
Haute-Kotto,Central African Republic
Kemo,Central African Republic
Lobaye,Central African Republic
Mambere-Kadei,Central African Republic
Mbomou,Central African Republic
Nana-Gribizi,Central African Republic
Nana-Mambere,Central African Republic
Ombella Mpoko,Central African Republic
Ouaka,Central African Republic
Ouham,Central African Republic
Ouham-Pende,Central African Republic
Sangha-Mbaere,Central African Republic
Vakaga,Central African Republic
Batha,Chad
Biltine,Chad
Bourkou-Ennedi-Tibesti,Chad
Chari-Baguirmi,Chad
Guera,Chad
Kanem,Chad
Lac,Chad
Logone Occidental,Chad
Logone Oriental,Chad
Mayo-Kebbi,Chad
Moyen-Chari,Chad
Ouaddai,Chad
Salamat,Chad
Tandjile,Chad
Aisen,Chile
Antofagasta,Chile
Araucania,Chile
Atacama,Chile
Bio Bio,Chile
Coquimbo,Chile
Libertador General Bernardo O,Chile
Los Lagos,Chile
Magellanes,Chile
Maule,Chile
Metropolitana,Chile
Metropolitana de Santiago,Chile
Tarapaca,Chile
Valparaiso,Chile
Anhui,China
Anhui Province,China
Anhui Sheng,China
Aomen,China
Beijing,China
Beijing Shi,China
Chongqing,China
Fujian,China
Fujian Sheng,China
Gansu,China
Guangdong,China
Guangdong Sheng,China
Guangxi,China
Guizhou,China
Hainan,China
Hebei,China
Heilongjiang,China
Henan,China
Hubei,China
Hunan,China
Jiangsu,China
Jiangsu Sheng,China
Jiangxi,China
Jilin,China
Liaoning,China
Liaoning Sheng,China
Nei Monggol,China
Ningxia Hui,China
Qinghai,China
Shaanxi,China
Shandong,China
Shandong Sheng,China
Shanghai,China
Shanxi,China
Sichuan,China
Tianjin,China
Xianggang,China
Xinjiang,China
Xizang,China
Yunnan,China
Zhejiang,China
Zhejiang Sheng,China
Amazonas,Colombia
Antioquia,Colombia
Arauca,Colombia
Atlantico,Colombia
Bogota,Colombia
Bolivar,Colombia
Boyaca,Colombia
Caldas,Colombia
Caqueta,Colombia
Casanare,Colombia
Cauca,Colombia
Cesar,Colombia
Choco,Colombia
Cordoba,Colombia
Cundinamarca,Colombia
Guainia,Colombia
Guaviare,Colombia
Huila,Colombia
La Guajira,Colombia
Magdalena,Colombia
Meta,Colombia
Narino,Colombia
Norte de Santander,Colombia
Putumayo,Colombia
Quindio,Colombia
Risaralda,Colombia
San Andres y Providencia,Colombia
Santander,Colombia
Sucre,Colombia
Tolima,Colombia
Valle del Cauca,Colombia
Vaupes,Colombia
Vichada,Colombia
Mwali,Comoros
Njazidja,Comoros
Nzwani,Comoros
Aitutaki,Cook Islands
Atiu,Cook Islands
Mangaia,Cook Islands
Manihiki,Cook Islands
Mauke,Cook Islands
Mitiaro,Cook Islands
Nassau,Cook Islands
Pukapuka,Cook Islands
Rakahanga,Cook Islands
Rarotonga,Cook Islands
Tongareva,Cook Islands
Alajuela,Costa Rica
Cartago,Costa Rica
Guanacaste,Costa Rica
Heredia,Costa Rica
Limon,Costa Rica
Puntarenas,Costa Rica
San Jose,Costa Rica
Abidjan,Cote D'ivoire
Agneby,Cote D'ivoire
Bafing,Cote D'ivoire
Denguele,Cote D'ivoire
Dix-huit Montagnes,Cote D'ivoire
Fromager,Cote D'ivoire
Haut-Sassandra,Cote D'ivoire
Lacs,Cote D'ivoire
Lagunes,Cote D'ivoire
Marahoue,Cote D'ivoire
Moyen-Cavally,Cote D'ivoire
Moyen-Comoe,Cote D'ivoire
N''zi-Comoe,Cote D'ivoire
Sassandra,Cote D'ivoire
Savanes,Cote D'ivoire
Sud-Bandama,Cote D'ivoire
Sud-Comoe,Cote D'ivoire
Vallee du Bandama,Cote D'ivoire
Worodougou,Cote D'ivoire
Zanzan,Cote D'ivoire
Bjelovar-Bilogora,Croatia
Dubrovnik-Neretva,Croatia
Grad Zagreb,Croatia
Istra,Croatia
Karlovac,Croatia
Koprivnica-Krizhevci,Croatia
Krapina-Zagorje,Croatia
Lika-Senj,Croatia
Medhimurje,Croatia
Medimurska Zupanija,Croatia
Osijek-Baranja,Croatia
Osjecko-Baranjska Zupanija,Croatia
Pozhega-Slavonija,Croatia
Primorje-Gorski Kotar,Croatia
Shibenik-Knin,Croatia
Sisak-Moslavina,Croatia
Slavonski Brod-Posavina,Croatia
Split-Dalmacija,Croatia
Varazhdin,Croatia
Virovitica-Podravina,Croatia
Vukovar-Srijem,Croatia
Zadar,Croatia
Zagreb,Croatia
Camaguey,Cuba
Ciego de Avila,Cuba
Cienfuegos,Cuba
Ciudad de la Habana,Cuba
Granma,Cuba
Guantanamo,Cuba
Habana,Cuba
Holguin,Cuba
Isla de la Juventud,Cuba
La Habana,Cuba
Las Tunas,Cuba
Matanzas,Cuba
Pinar del Rio,Cuba
Sancti Spiritus,Cuba
Santiago de Cuba,Cuba
Villa Clara,Cuba
Government controlled area,Cyprus
Limassol,Cyprus
Nicosia District,Cyprus
Paphos,Cyprus
Turkish controlled area,Cyprus
Central Bohemian,Czech Republic
Frycovice,Czech Republic
Jihocesky Kraj,Czech Republic
Jihochesky,Czech Republic
Jihomoravsky,Czech Republic
Karlovarsky,Czech Republic
Klecany,Czech Republic
Kralovehradecky,Czech Republic
Liberecky,Czech Republic
Lipov,Czech Republic
Moravskoslezsky,Czech Republic
Olomoucky,Czech Republic
Olomoucky Kraj,Czech Republic
Pardubicky,Czech Republic
Plzensky,Czech Republic
Praha,Czech Republic
Rajhrad,Czech Republic
Smirice,Czech Republic
South Moravian,Czech Republic
Straz nad Nisou,Czech Republic
Stredochesky,Czech Republic
Unicov,Czech Republic
Ustecky,Czech Republic
Valletta,Czech Republic
Velesin,Czech Republic
Vysochina,Czech Republic
Zlinsky,Czech Republic
Bandundu,The Democratic Republic of the Congo
Bas-Congo,The Democratic Republic of the Congo
Equateur,The Democratic Republic of the Congo
Haut-Congo,The Democratic Republic of the Congo
Kasai-Occidental,The Democratic Republic of the Congo
Kasai-Oriental,The Democratic Republic of the Congo
Katanga,The Democratic Republic of the Congo
Kinshasa,The Democratic Republic of the Congo
Maniema,The Democratic Republic of the Congo
Nord-Kivu,The Democratic Republic of the Congo
Sud-Kivu,The Democratic Republic of the Congo
Arhus,Denmark
Bornholm,Denmark
Frederiksborg,Denmark
Fyn,Denmark
Hovedstaden,Denmark
Kobenhavn,Denmark
Kobenhavns Amt,Denmark
Kobenhavns Kommune,Denmark
Nordjylland,Denmark
Ribe,Denmark
Ringkobing,Denmark
Roervig,Denmark
Roskilde,Denmark
Roslev,Denmark
Sjaelland,Denmark
Soeborg,Denmark
Sonderjylland,Denmark
Storstrom,Denmark
Syddanmark,Denmark
Toelloese,Denmark
Vejle,Denmark
Vestsjalland,Denmark
Viborg,Denmark
Ali Sabih,Djibouti
Dikhil,Djibouti
Jibuti,Djibouti
Tajurah,Djibouti
Ubuk,Djibouti
Saint Andrew,Dominica
Saint David,Dominica
Saint George,Dominica
Saint John,Dominica
Saint Joseph,Dominica
Saint Luke,Dominica
Saint Mark,Dominica
Saint Patrick,Dominica
Saint Paul,Dominica
Saint Peter,Dominica
Azua,Dominican Republic
Bahoruco,Dominican Republic
Barahona,Dominican Republic
Dajabon,Dominican Republic
Distrito Nacional,Dominican Republic
Duarte,Dominican Republic
El Seybo,Dominican Republic
Elias Pina,Dominican Republic
Espaillat,Dominican Republic
Hato Mayor,Dominican Republic
Independencia,Dominican Republic
La Altagracia,Dominican Republic
La Romana,Dominican Republic
La Vega,Dominican Republic
Maria Trinidad Sanchez,Dominican Republic
Monsenor Nouel,Dominican Republic
Monte Cristi,Dominican Republic
Monte Plata,Dominican Republic
Pedernales,Dominican Republic
Peravia,Dominican Republic
Puerto Plata,Dominican Republic
Salcedo,Dominican Republic
Samana,Dominican Republic
San Cristobal,Dominican Republic
San Juan,Dominican Republic
San Pedro de Macoris,Dominican Republic
Sanchez Ramirez,Dominican Republic
Santiago,Dominican Republic
Santiago Rodriguez,Dominican Republic
Valverde,Dominican Republic
Aileu,East Timor
Ainaro,East Timor
Ambeno,East Timor
Baucau,East Timor
Bobonaro,East Timor
Cova Lima,East Timor
Dili,East Timor
Ermera,East Timor
Lautem,East Timor
Liquica,East Timor
Manatuto,East Timor
Manufahi,East Timor
Viqueque,East Timor
Azuay,Ecuador
Bolivar,Ecuador
Canar,Ecuador
Carchi,Ecuador
Chimborazo,Ecuador
Cotopaxi,Ecuador
El Oro,Ecuador
Esmeraldas,Ecuador
Galapagos,Ecuador
Guayas,Ecuador
Imbabura,Ecuador
Loja,Ecuador
Los Rios,Ecuador
Manabi,Ecuador
Morona Santiago,Ecuador
Napo,Ecuador
Orellana,Ecuador
Pastaza,Ecuador
Pichincha,Ecuador
Sucumbios,Ecuador
Tungurahua,Ecuador
Zamora Chinchipe,Ecuador
Aswan,Egypt
Asyut,Egypt
